ID,Task,Dur(min),Start,Finish,TotalSlack(min),Critical,%
1,Phase 1 — Canopy & soil,9120,2027-04-05 08:00,2027-04-24 16:00,0,yes,19
2,Site survey & marking,960,2027-04-05 08:00,2027-04-06 16:00,0,yes,100
3,Sheet-mulch the beds,2400,2027-04-07 08:00,2027-04-12 16:00,0,yes,60
4,Bare-root order arrives,0,2027-04-12 08:00,2027-04-12 08:00,480,no,0
5,Plant canopy trees (12),1440,2027-04-13 08:00,2027-04-15 16:00,0,yes,0
6,Plant shrub layer (24),1920,2027-04-16 08:00,2027-04-19 16:00,0,yes,0
7,Mulch & water in,960,2027-04-17 08:00,2027-04-18 16:00,2400,no,0
8,Deer protection,960,2027-04-20 08:00,2027-04-21 16:00,0,yes,0
9,Settle-in period,4320,2027-04-21 16:00,2027-04-24 16:00,0,yes,0
10,Phase 2 — Understory,7680,2027-04-05 08:00,2027-04-22 08:00,1440,no,0
11,Soil test & amend,480,2027-04-05 08:00,2027-04-05 16:00,4800,no,0
12,Plant herb layer (48),2400,2027-04-05 08:00,2027-04-10 16:00,4800,no,0
13,Divide groundcover,1440,2027-04-16 08:00,2027-04-18 16:00,2400,no,0
14,Final inspection,480,2027-04-19 08:00,2027-04-19 16:00,2400,no,0
15,Season complete,0,2027-04-22 08:00,2027-04-22 08:00,1440,no,0
